hitter_id,player_name,mlb_id,contact,power,discipline,speed,vision,attack_angle_control,reaction_time,top_sprint_speed,route_efficiency,arm_strength,arm_accuracy,fielding_secure,primary_position,batting_avg,on_base_pct,slugging_pct,ops,home_runs,stolen_bases,strikeouts,walks,avg_exit_velo,max_exit_velo,barrel_pct,sprint_speed,oaa,drs,arm_strength_mph,fielding_pct,jump,season,games_played,at_bats,position,hand,created_at,updated_at,team_name,team_abbr,batting_order
1,Pete Crow-Armstrong,,42546,54249,30109,90000,37093,60537,100000,90000,100000,70000,100000,76000,CF,0.247,0.287,0.481,0.768,31,35,155,29,89.5,113.2,0.13,29.5,9.0,15.0,,0.988,,2025,157,591,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,1
2,Nico Hoerner,,93499,26225,66917,72000,100000,49485,100000,72000,100000,70000,100000,66000,2B,0.297,0.345,0.394,0.739,7,29,49,39,86.7,108.1,0.023,28.6,10.2,17.0,,0.983,,2025,156,599,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,2
3,Kyle Tucker,,70133,51402,89200,36666,79600,57319,100000,36666,46800,50000,45333,70000,RF,0.266,0.377,0.464,0.841,22,25,88,87,90.1,108.7,0.10800000000000001,26.5,-0.6,-1.0,,0.985,,2025,136,500,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,3
4,Michael Busch,,46613,66149,56240,36666,35893,67822,100000,36666,58000,50000,64000,86000,1B,0.261,0.343,0.523,0.866,34,4,139,56,92.2,111.9,0.171,26.5,1.2,2.0,,0.993,,2025,155,524,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,4
5,Dansby Swanson,,37491,47195,34903,70000,28983,54805,100000,70000,76400,70000,89333,46000,SS,0.244,0.3,0.417,0.717,24,20,168,47,90.5,109.3,0.11699999999999999,28.5,4.2,7.0,,0.972,,2025,159,590,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,5
6,Ian Happ,,40590,46335,64149,48666,35848,54766,100000,48666,82800,70000,100000,64000,LF,0.243,0.342,0.42,0.762,23,6,151,87,90.0,112.0,0.10400000000000001,27.4,5.3999999999999995,9.0,,0.982,,2025,150,569,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,6
7,Seiya Suzuki,,37559,58925,53208,67999,28453,62204,100000,67999,50000,50000,50000,76000,CF,0.245,0.326,0.478,0.804,32,5,164,71,91.3,116.2,0.166,28.4,0.0,0.0,,0.988,,2025,151,571,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,7
8,Carson Kelly,,54065,46119,64479,30000,58798,56176,100000,30000,66000,50000,75333,80000,C,0.249,0.333,0.428,0.761,17,2,80,45,88.8,110.1,0.096,26.0,2.4,4.0,,0.99,,2025,111,369,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,8
9,Matt Shaw,,40162,30379,45059,80000,46325,52835,100000,80000,96666,70000,100000,29937,3B,0.226,0.295,0.394,0.69,13,17,94,38,84.9,109.2,0.069,29.0,7.199999999999999,12.0,,0.958,,2025,126,393,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,9
10,Miguel Amaya,,60777,44520,38462,52000,50555,56661,100000,52000,54000,50000,57000,80000,C,0.281,0.314,0.5,0.814,4,0,22,4,86.4,108.1,0.066,27.6,0.6,1.0,,0.99,,2025,28,96,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,10
11,Reese McGuire,,50997,45838,35843,29884,67994,62586,100000,29884,46800,50000,45333,80000,C,0.226,0.245,0.444,0.688,9,0,27,4,85.1,105.7,0.092,25.9,-0.6,-1.0,,0.99,,2025,45,133,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,11
12,Moises Ballesteros,,75491,46904,83681,30000,62982,54821,100000,30000,50000,50000,50000,86000,1B,0.298,0.394,0.474,0.868,2,0,12,9,89.1,112.8,0.067,26.0,0.0,0.0,,0.993,,2025,20,57,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,12
13,Justin Turner,,43619,27767,49549,92711,57376,49808,100000,92711,46800,50000,45333,29937,3B,0.219,0.288,0.314,0.602,3,2,37,17,88.3,108.0,0.037000000000000005,30.3,-0.6,-1.0,,0.958,,2025,80,169,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,13
14,Jon Berti,,42651,17340,35955,67999,56666,46521,100000,67999,58000,50000,64000,66000,2B,0.21,0.262,0.23,0.492,0,11,22,5,87.5,112.1,0.026000000000000002,28.4,1.2,2.0,,0.983,,2025,53,100,,,2025-11-21 16:48:49,2025-11-21 16:48:49,Chicago Cubs,CHC,14
15,Elly De La Cruz,,43835,48183,52072,83999,28337,54491,100000,83999,34000,50000,35000,46000,SS,0.264,0.336,0.44,0.777,22,37,181,67,91.0,117.4,0.102,29.2,-3.0,-5.0,,0.972,,2025,162,629,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,1
16,TJ Friedl,,63942,29943,78277,39333,70552,51245,100000,39333,48000,30000,70000,76000,CF,0.261,0.364,0.378,0.742,14,12,115,81,87.1,107.6,0.027000000000000003,26.7,-6.0,-10.0,,0.988,,2025,152,579,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,2
17,Matt McLain,,24915,33677,39368,83999,19831,51916,100000,83999,30800,30000,42000,66000,2B,0.22,0.3,0.343,0.643,15,18,167,55,88.8,109.9,0.077,29.2,-3.5999999999999996,-6.0,,0.983,,2025,147,510,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,3
18,Austin Hays,,45163,46019,39237,52000,29661,55100,100000,52000,43600,50000,40666,64000,LF,0.266,0.315,0.453,0.768,15,7,107,29,88.8,109.2,0.10400000000000001,27.6,-1.2,-2.0,,0.982,,2025,103,380,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,4
19,Noelvi Marte,,50185,45434,31767,80000,41705,55369,100000,80000,46800,50000,45333,76000,CF,0.263,0.3,0.448,0.748,14,10,85,16,88.5,116.7,0.09,29.0,-0.6,-1.0,,0.988,,2025,90,339,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,5
20,Tyler Stephenson,,22099,48512,43245,40666,6865,55590,100000,40666,37200,50000,31333,80000,C,0.231,0.316,0.421,0.737,13,0,116,37,90.5,107.9,0.14400000000000002,26.8,-2.4,-4.0,,0.99,,2025,88,299,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,6
21,Spencer Steer,,41311,39411,48260,60000,40624,54410,100000,60000,50000,50000,50000,70000,RF,0.238,0.312,0.411,0.723,21,7,129,51,87.3,108.3,0.076,28.0,0.0,0.0,,0.985,,2025,146,509,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,7
22,Sal Stewart,,43121,69734,29827,29769,32909,71110,100000,29769,58000,50000,64000,86000,1B,0.255,0.293,0.545,0.839,5,0,15,3,95.4,112.6,0.175,25.8,1.2,2.0,,0.993,,2025,18,55,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,8
23,Gavin Lux,,51211,27671,62512,57999,39757,49205,100000,57999,50000,50000,50000,29937,3B,0.269,0.35,0.374,0.724,5,1,114,56,88.3,106.4,0.036000000000000004,27.9,0.0,0.0,,0.958,,2025,140,446,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,9
24,Jose Trevino,,67949,26214,49231,28038,93900,49337,100000,28038,46800,50000,45333,80000,C,0.238,0.272,0.351,0.623,4,0,39,15,87.9,107.9,0.044000000000000004,24.3,-0.6,-1.0,,0.99,,2025,94,282,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,10
25,Blake Dunn,,10584,26514,44126,90677,714,49373,100000,90677,54000,50000,57000,70000,RF,0.15,0.32,0.233,0.553,1,1,25,8,88.6,110.0,0.086,29.7,0.6,1.0,,0.985,,2025,30,60,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,11
26,Will Benson,,30788,55705,30843,86000,27577,59360,100000,86000,66000,50000,75333,76000,CF,0.226,0.273,0.435,0.708,12,2,67,16,92.4,111.4,0.154,29.3,2.4,4.0,,0.988,,2025,90,230,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,12
27,Santiago Espinal,,71625,16388,54976,44666,97918,46622,100000,44666,50000,50000,50000,29937,3B,0.243,0.292,0.282,0.575,0,2,38,21,86.5,107.4,0.006999999999999999,27.1,0.0,0.0,,0.958,,2025,114,301,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,13
28,Christian Encarnacion-Strand,,35950,39086,26158,50000,43538,54456,100000,50000,46800,50000,45333,29937,3B,0.208,0.234,0.377,0.61,6,0,32,3,87.9,111.4,0.09,27.5,-0.6,-1.0,,0.958,,2025,36,130,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,14
29,Jeimer Candelario,,13865,25844,34457,39333,12321,50498,100000,39333,54000,50000,57000,29937,3B,0.113,0.198,0.213,0.41,2,0,29,9,87.3,107.5,0.075,26.7,0.6,1.0,,0.958,,2025,22,80,,,2025-11-21 16:49:13,2025-11-21 16:49:13,Cincinnati Reds,CIN,15
30,Brice Turang,,58629,46538,62255,77999,39260,53802,100000,77999,76400,70000,89333,66000,2B,0.288,0.359,0.435,0.794,18,24,150,66,91.1,111.2,0.079,28.9,4.2,7.0,,0.983,,2025,156,584,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,1
31,Sal Frelick,,83696,28765,71090,77999,89393,51360,100000,77999,82800,70000,100000,70000,RF,0.288,0.351,0.405,0.756,12,19,80,47,85.4,109.1,0.03,28.9,5.3999999999999995,9.0,,0.985,,2025,142,528,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,2
32,William Contreras,,59328,43064,74842,50000,61990,53058,100000,50000,50000,50000,50000,80000,C,0.26,0.355,0.399,0.754,17,6,120,84,91.1,114.1,0.064,27.5,0.0,0.0,,0.99,,2025,150,566,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,3
33,Jackson Chourio,,59866,47681,40573,83999,56399,55251,100000,83999,54000,50000,57000,70000,RF,0.27,0.308,0.463,0.77,21,21,121,30,89.3,113.7,0.09699999999999999,29.2,0.6,1.0,,0.985,,2025,131,549,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,4
34,Isaac Collins,,50333,37322,72050,53999,42000,52077,100000,53999,50000,50000,50000,29937,3B,0.263,0.368,0.411,0.779,9,16,93,57,88.8,111.2,0.049,27.7,0.0,0.0,,0.958,,2025,130,372,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,5
35,Caleb Durbin,,77000,27248,65088,62000,100000,51331,100000,62000,70000,50000,80000,29937,3B,0.256,0.334,0.387,0.721,11,18,50,30,85.2,108.9,0.04,28.1,3.0,5.0,,0.958,,2025,136,445,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,6
36,Christian Yelich,,43439,52796,54575,63999,27546,58969,100000,63999,54000,50000,57000,64000,LF,0.264,0.343,0.452,0.795,29,16,167,64,90.2,113.4,0.10300000000000001,28.2,0.6,1.0,,0.982,,2025,150,573,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,7
37,Joey Ortiz,,61843,19736,47781,73999,87021,49023,100000,73999,43600,50000,40666,46000,SS,0.23,0.276,0.317,0.593,7,14,74,27,84.9,109.8,0.03,28.7,-1.2,-2.0,,0.972,,2025,149,470,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,8
38,Rhys Hoskins,,30720,47263,53735,28615,20107,55120,100000,28615,58000,50000,64000,86000,1B,0.237,0.332,0.416,0.748,12,2,91,38,90.2,111.1,0.10300000000000001,24.8,1.2,2.0,,0.993,,2025,90,279,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,9
39,Jake Bauers,,30456,47138,64304,44666,20913,54303,100000,44666,50000,50000,50000,70000,RF,0.235,0.353,0.399,0.752,7,8,59,32,91.7,112.6,0.136,27.1,0.0,0.0,,0.985,,2025,86,183,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,10
40,Andruw Monasterio,,51872,37764,39063,53999,40412,53534,100000,53999,46800,50000,45333,46000,SS,0.27,0.319,0.437,0.755,4,2,32,7,87.0,110.1,0.053,27.7,-0.6,-1.0,,0.972,,2025,68,126,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,11
41,Blake Perkins,,29511,32277,38080,82000,25023,50353,100000,82000,50000,50000,50000,76000,CF,0.226,0.298,0.348,0.647,3,7,47,15,89.6,106.0,0.037000000000000005,29.1,0.0,0.0,,0.988,,2025,54,155,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,12
42,Garrett Mitchell,,19654,25550,34723,80000,11218,47120,100000,80000,50000,50000,50000,76000,CF,0.206,0.286,0.294,0.58,0,3,25,7,90.4,110.8,0.067,29.0,0.0,0.0,,0.988,,2025,25,68,,,2025-11-21 16:49:33,2025-11-21 16:49:33,Milwaukee Brewers,MIL,13
