team_id,team_name,team_abbr,season,league,division,created_at,updated_at
11,Arizona Diamondbacks,ARI,2025,,,2025-11-27 13:45:39,2025-11-27 13:45:39
4,Atlanta Braves,ATL,2025,,,2025-11-27 13:42:25,2025-11-27 13:42:25
5,Chicago Cubs,CHC,2025,,,2025-11-27 13:42:59,2025-11-27 13:42:59
6,Cincinnati Reds,CIN,2025,,,2025-11-27 13:43:22,2025-11-27 13:43:22
12,Colorado Rockies,COL,2025,,,2025-11-27 13:45:59,2025-11-27 13:45:59
10,Los Angeles Dodgers,LAD,2025,,,2025-11-27 13:44:50,2025-11-27 13:44:50
3,Miami Marlins,MIA,2025,,,2025-11-27 13:42:05,2025-11-27 13:42:05
7,Milwaukee Brewers,MIL,2025,,,2025-11-27 13:43:43,2025-11-27 13:43:43
2,New York Mets,NYM,2025,,,2025-11-27 13:41:46,2025-11-27 13:41:46
1,Philadelphia Phillies,PHI,2025,,,2025-11-27 13:41:25,2025-11-27 13:41:25
8,Pittsburgh Pirates,PIT,2025,,,2025-11-27 13:44:02,2025-11-27 13:44:02
14,SDP,SDP,2025,,,2025-11-27 13:48:47,2025-11-27 13:48:47
15,SFG,SFG,2025,,,2025-11-27 13:49:07,2025-11-27 13:49:07
9,St. Louis Cardinals,STL,2025,,,2025-11-27 13:44:27,2025-11-27 13:44:27
13,WSN,WSN,2025,,,2025-11-27 13:47:02,2025-11-27 13:47:02
