Rank,Team,Venue,Season,LF_Line,LF_Gap,CF,RF_Gap,RF_Line,Deepest_Point,Playing_Field_Area,Avg_Fence_Distance,Avg_Fence_Height,Avg_HR
1,Rockies,Coors Field,2025,347,408,415,385,351,422,116729,386,11.6,397
2,Royals,Kauffman Stadium,2025,324,393,410,393,326,410,115737,384,8.7,393
3,D-backs,Chase Field,2025,329,389,406,389,334,411,113353,380,11.7,392
4,Cardinals,Busch Stadium,2025,335,390,400,391,335,401,111763,377,7.4,385
5,Tigers,Comerica Park,2025,343,384,412,391,327,417,111350,377,6.7,383
6,Rangers,Globe Life Field,2025,328,381,406,373,321,411,111347,377,7.8,384
7,Angels,Angel Stadium,2025,330,386,398,369,330,403,110240,375,6.1,381
8,Marlins,loanDepot park,2025,344,387,396,384,335,403,109971,374,8.6,383
9,Braves,Truist Park,2025,335,386,400,379,326,402,109622,374,10.1,384
10,Pirates,PNC Park,2025,324,400,398,378,319,409,109408,373,11.1,384
11,Athletics,Sutter Health Park,2025,330,386,401,375,324,403,109016,373,7.1,380
12,Brewers,American Family Field,2025,341,371,399,377,345,399,108451,372,6.9,379
13,Giants,Oracle Park,2025,340,377,391,411,304,413,108298,371,12.1,383
14,Nationals,Nationals Park,2025,336,377,402,370,335,407,108054,371,9.8,381
15,Padres,Petco Park,2025,335,381,396,389,322,399,107981,371,6.7,377
16,Orioles,Oriole Park at Camden Yards,2025,333,371,400,386,318,408,107943,371,9.0,380
17,Twins,Target Field,2025,338,382,404,373,328,410,107447,370,13.9,384
18,Mets,Citi Field,2025,334,368,407,372,330,408,107253,370,8.2,378
19,Dodgers,Dodger Stadium,2025,327,372,395,372,326,395,106961,369,7.0,376
20,Yankees,Yankee Stadium,2025,318,392,408,364,313,409,106822,369,8.1,377
21,White Sox,Rate Field,2025,328,379,400,380,335,402,106814,369,6.6,375
22,Rays,George M. Steinbrenner Field,2025,319,391,407,365,314,408,106580,368,6.1,374
23,Cubs,Wrigley Field,2025,354,356,397,379,349,401,106082,368,11.2,379
24,Mariners,T-Mobile Park,2025,331,379,401,382,327,405,106030,367,7.6,375
25,Guardians,Progressive Field,2025,325,368,400,375,325,409,105153,366,13.4,379
26,Blue Jays,Rogers Centre,2025,328,381,400,373,328,400,104732,365,11.9,377
27,Phillies,Citizens Bank Park,2025,328,375,402,370,330,409,104706,365,10.3,375
28,Reds,Great American Ball Park,2025,328,376,404,368,324,404,104259,364,8.9,373
29,Astros,Daikin Park,2025,315,367,409,378,325,416,104204,364,12.6,377
30,Red Sox,Fenway Park,2025,309,345,388,378,299,417,102935,362,20.3,382
