"entity_name","entity_id","pitch_hand","active_spin_fourseam","active_spin_sinker","active_spin_cutter","active_spin_changeup","active_spin_splitter","active_spin_curve","active_spin_slider","active_spin_sweeper","active_spin_slurve"
"Bachman, Sam",696147,"R",,"95.4",,"85.9",,,"17.9",,
"Fluharty, Mason",689254,"L",,,"42.2",,,,,"57.4",
"Brown, McCade",685326,"R",,"95.8",,"97.5",,"81.8","19.1",,
"Criswell, Cooper",681867,"R",,"74.4","44.8","87",,,,"74.9",
"Guenther, Sean",674944,"L",,"76.1",,,"98.2",,"69.9",,
"Thomas, Connor",671162,"L",,"73.5","14","81.2",,,,"59.1",
"Whitlock, Garrett",676477,"R",,"99.4",,"86",,,"53.3","54.9",
"Maton, Phil",664208,"R",,"72","60.5",,,"91.8",,"43.7",
"Raley, Brooks",548384,"L",,"77.5","37.6","86.9",,,,"51.9",
"Bernardino, Brennan",657514,"L",,"75.5","25.8","88.9",,"54.4","16.8",,
"Murdock, Noah",668716,"R",,"69.4","23.9","60.3",,,,"55.3",
"Ginn, J.T.",669372,"R",,"74.9","63.5","77.4",,,"22",,
"Fedde, Erick",607200,"R",,"77.1","57.9","71.8",,,,"47.2",
"Ramírez, Erasmo",541640,"R",,"84.9","68.2","92.9",,,,,
"Bautista, Félix",642585,"R",,"99.4",,,"97.3",,"36.4",,
"Topa, Justin",623437,"R",,"89.5","41.9","81.1",,,,"46",
"Rogers, Tyler",643511,"R",,"73.6",,,,,"59.3",,
"Pop, Zach",647315,"R",,"85","51.7",,,,"47.5",,
"Spence, Mitch",687765,"R",,"52.3","27.1","69.4",,"68.7","50.2",,
"Peguero, Elvis",665625,"R",,"91.9",,,,,"27.1",,
"Matz, Steven",571927,"L",,"99.5",,"81.8",,"81.1","37.1",,
"Hagenman, Justin",663795,"R",,"96.2","51.2","94.2",,,"24.5",,
"Dunning, Dane",641540,"R",,"86.3","70.8","99.1",,"99.3","41.6",,
"Misiewicz, Anthony",664948,"L",,,"35.7","79.2",,"74.5",,,
"Young, Danny",664849,"L",,"85.3",,,,,,"57.3",
"Borucki, Ryan",621366,"L",,"95.4",,,"89.9",,"15.7","46.6",
"Tate, Dillon",622253,"R",,"92.2",,"68.4",,,,"35.9",
"Suero, Wander",593833,"R",,,"79.6","92.5",,,,,
"Ferrer, Jose A.",678606,"L",,"99.3",,"93.5",,,"16.3",,
"Funderburk, Kody",681892,"L",,"79.2","63.2","85",,,"27.9","59.2",
"Chavez, Jesse",445926,"R",,"90.1","69.9","95",,"77.1",,,
"Little, Brendon",663893,"L",,"70.7","40.5",,,"76.5",,,
"Nance, Tommy",667297,"R",,"83.6",,,,"78.7","14.6",,
"Garcia, Brandyn",805299,"L",,"85.2",,,,,"20.5","65.7",
"Sánchez, Cristopher",650911,"L",,"92.7",,"84.6",,,"21.6",,
"Doval, Camilo",666808,"R",,"49","55",,,,"40",,
"Effross, Scott",664123,"R",,"98.4",,"96.7",,,,"22.1",
"Burgos, Juan",686228,"R",,"69.3","32.6",,,,,"55",
"Darrell-Hicks, Michael",690382,"R",,"85.1","36.4",,,,,"55.8",
"Backhus, Kyle",679775,"L",,"96",,"98.2",,,,"48.4",
"Burnes, Corbin",669203,"R",,"74","62.1","77.7",,"70.7","37.9",,
"Mayza, Tim",641835,"L",,"87.3",,,,,"15.8",,
"Bird, Jake",656234,"R",,"73.7","54.8",,,"85.5",,"53",
"Alexander, Scott",518397,"L",,"76.3",,"67.4",,,"32.1",,
"McDaniels, Garrett",680729,"L",,"66.4",,,,,"19.5",,
"Hjelle, Sean",663546,"R",,"70.9","44",,,"52.1",,,
"Mederos, Victor",682989,"R",,"90.8",,"97.8",,,"36.9","43.3",
"Leiter Jr., Mark",643410,"R",,"92.9","58.2",,"86.6","97.7","39.3",,
"Mantiply, Joe",573009,"L",,"90.3",,"98.5",,"50.7",,,
"Bruihl, Justin",677865,"L",,"80","29.1",,,,,"65.2",
"Johnson, Ryan",696270,"R",,"67.6","42.5",,"82.4",,"42.9","53",
"Roberts, Ethan",681799,"R",,,"47.9",,,,,"70.4",
"Alvarado, José",621237,"L",,"94.1","40.3",,,"49.4",,,
"Walker, Ryan",676254,"R",,"78",,,,,"52.7",,
"McDonald, Trevor",686790,"R",,"85.6",,"96.8",,"31",,,
"Hader, Josh",623352,"L",,"99.5",,"93.3",,,"18.2",,
"Whisenhunt, Carson",687931,"L",,"98.8",,"93.7",,,"28.8",,
"Clase, Emmanuel",661403,"R",,,"64.3",,,,"40.3",,
"Robertson, David",502085,"R",,"75.7","64.5",,,"66.5","45.8",,
"Rogers, Taylor",573124,"L",,"89.3",,,,,,"67.3",
"Mey, Luis",682825,"R",,"72.3",,,,,"32.2",,
"Jansen, Kenley",445276,"R",,"96.1","81.8",,,,"41.9","43.6",
"Ashcraft, Graham",668933,"R",,,"48.1",,,,"37.7",,
"Saucedo, Tayler",642048,"L",,"87.1",,"95.3",,,"29.2","47.6",
"Santos, Gregory",666619,"R",,"57.2",,,,,"40.4",,
"O'Brien, Riley",676617,"R",,"85",,,,"67.6","23.8",,
"Hoeing, Bryan",663773,"R",,"94.5",,,"86.9",,"32.9",,
"Priester, Quinn",682990,"R",,"81.3","62.4","96.4",,"56","28.6",,
"McFarland, T.J.",519008,"L",,"90.3",,"93",,,,"66.4",
"Mahle, Tyler",641816,"R","99.7",,"46.9",,"91.1",,"28.1",,
"Dreyer, Jack",676263,"L","99.6",,,,,"90.8","23.6",,
"Blubaugh, AJ",805123,"R","99.6",,,"86.3",,"86",,"55.1",
"Moreta, Dauri",664294,"R","99.6",,,,,,"15.8",,
"Miller, Shelby",571946,"R","99.5",,,,"88.8",,,"46.1",
"Yesavage, Trey",702056,"R","99.5",,,,"90.2",,"53.2",,
"Stanek, Ryne",592773,"R","99.5",,,,"94.4",,"21.3","41.4",
