"last_name, first_name","player_id","attempts","n_outs_above_average","n_oaa_slice_back_left","n_oaa_slice_back","n_oaa_slice_back_right","n_oaa_slice_back_all","n_oaa_slice_in_left","n_oaa_slice_in","n_oaa_slice_in_right","n_oaa_slice_in_all"
"Crow-Armstrong, Pete",691718,"475","24","7","-1","9","15","2","3","5","10"
"Rafaela, Ceddanne",678882,"347","21","3","1","4","8","3","4","5","12"
"Scott II, Victor",687363,"356","17","3","1","5","9","5","-1","4","8"
"Young, Jacob",696285,"301","14","3","0","-1","2","5","3","4","12"
"Clarke, Denzel",672016,"183","13","6","1","2","8","2","1","2","5"
"Isbel, Kyle",664728,"352","12","3","0","1","4","5","1","2","8"
"Pages, Andy",681624,"419","11","1","0","1","3","3","2","4","8"
"Rodríguez, Julio",677594,"501","11","4","1","2","8","0","0","3","3"
"Straw, Myles",664702,"213","10","0","1","4","5","2","1","2","6"
"Langford, Wyatt",694671,"333","10","2","0","5","7","3","-1","1","3"
"Carroll, Corbin",682998,"334","10","2","1","0","3","1","3","2","7"
"Teodosio, Bryce",669326,"150","10","2","1","1","4","2","1","3","6"
"Varsho, Daulton",662139,"208","9","4","1","2","7","0","0","2","2"
"Meyers, Jake",676694,"248","9","1","0","4","6","3","1","0","4"
"Harris II, Michael",671739,"436","8","5","1","1","7","1","-1","2","1"
"Tatis Jr., Fernando",665487,"394","8","0","5","-1","4","0","3","1","4"
"Abreu, Wilyer",677800,"250","8","2","2","-3","1","3","3","0","7"
"Frelick, Sal",686217,"349","7","2","1","1","4","0","3","0","4"
"Bader, Harrison",664056,"336","7","1","-2","2","1","2","1","3","6"
"Bellinger, Cody",641355,"359","7","1","2","0","4","1","1","1","3"
"Robert Jr., Luis",673357,"307","7","3","-1","1","3","1","0","3","4"
"Doyle, Brenton",686668,"425","6","1","0","6","7","0","-3","2","-1"
"Anthony, Roman",701350,"96","6","1","0","0","2","3","0","1","4"
"Mangum, Jake",663968,"240","6","1","-2","0","-1","1","4","1","6"
"Rojas, Johan",679032,"119","5","1","0","1","2","1","0","2","3"
"Hill, Derek",656537,"105","5","1","0","1","2","2","1","0","3"
"Kwan, Steven",680757,"350","5","1","4","0","4","3","1","-3","1"
"Soderstrom, Tyler",691016,"256","5","0","1","1","2","0","2","0","2"
"Mitchell, Garrett",669003,"71","5","1","1","2","3","1","0","0","1"
"Hernández, Heriberto",681715,"89","5","0","2","0","2","0","1","1","2"
"Lockridge, Brandon",663604,"97","5","1","1","1","3","0","1","0","2"
"Church, Nathan",701675,"56","4","0","0","1","1","0","2","0","2"
"Collins, Isaac",686555,"207","4","0","-1","-1","-1","1","2","2","5"
"Mullins, Cedric",656775,"345","4","0","0","0","0","2","0","2","4"
"Butler, Lawrence",671732,"400","4","2","-1","2","3","-1","2","1","2"
"Meadows, Parker",678009,"147","4","1","0","0","1","1","1","0","3"
"Barrosa, Jorge",678489,"60","4","0","0","1","2","0","2","1","3"
"Marsee, Jakob",805300,"151","4","1","1","-1","1","0","1","2","3"
"Judge, Aaron",592450,"240","4","-2","1","1","0","-3","4","3","4"
"Carter, Evan",694497,"133","4","0","0","2","2","1","0","1","2"
"Báez, Javier",595879,"110","3","0","0","1","2","1","-1","1","0"
"Buxton, Byron",621439,"313","3","3","0","3","5","1","0","-4","-3"
"Misner, Kameron",670224,"155","3","0","0","0","1","2","1","0","3"
"Chourio, Jackson",694192,"343","3","2","0","-1","0","0","0","3","3"
