"name","id","total_runs","inf_of_runs","range_runs","arm_runs","dp_runs","catching_runs","framing_runs","throwing_runs","blocking_runs","outs_total","outs_2","outs_3","outs_4","outs_5","outs_6","outs_7","outs_8","outs_9"
"Bailey, Patrick",672275,31.491431022718242,,,,,31.491431022718242,25.0895081475731,5.235503555465639,1.1664193196794996,3089,3089,0,0,0,0,0,0,0
"Kirk, Alejandro",672386,21.93672077973892,,,,,21.93672077973892,16.416906250866752,0.30852584193036914,5.211288686941799,2896,2896,0,0,0,0,0,0,0
"Rafaela, Ceddanne",678882,21.853143966530535,21.853143966530535,19.469576722394034,2.2804070151094855,0.10316022902703567,,,,,3997,0,0,495,0,0,0,3502,0
"Crow-Armstrong, Pete",691718,21.05655283296329,21.05655283296329,18.5255433017759,2.531009531187371,,,,,,4071,0,0,0,0,0,0,4071,0
"Witt Jr., Bobby",677951,20.029542543364677,20.029542543364677,18.322438496458723,-0.006231003927419642,1.713335050833374,,,,,4020,0,0,0,0,4020,0,0,0
"Hayes, Ke'Bryan",663647,17.169088196642978,17.169088196642978,16.26747296793165,,0.9016152287113228,,,,,3849,0,0,0,3849,0,0,0,0
"Dubón, Mauricio",643289,17.12299524238086,17.12299524238086,14.690134833588184,1.6568860574821591,0.7759743513105315,,,,,2882,0,39,954,423,619,526,267,54
"Winn, Masyn",691026,16.838548325996996,16.838548325996996,15.995876794425085,-0.23496567826792947,1.077637209839853,,,,,3323,0,0,0,0,3323,0,0,0
"Young, Jacob",696285,14.688618004556583,14.688618004556583,12.876507945849777,1.8121100587068077,,,,,,2704,0,0,0,0,0,0,2704,0
"Hedges, Austin",595978,14.478182501101076,,,,,14.478182501101076,10.750095949211047,3.6592786035844784,0.06880794830555079,1448,1439,0,0,0,0,0,0,0
"Garcia, Maikel",672580,13.248257073773107,13.248257073773107,12.528881721193848,0.08890063986825573,0.6304747127110002,,,,,4010,0,0,198,3434,266,0,88,24
"Hoerner, Nico",663538,12.737282336339527,12.737282336339527,11.468676247360316,-0.03615227933430222,1.304758368313514,,,,,4089,0,0,3978,0,111,0,0,0
"Allen, Nick",669397,12.576939978764278,12.576939978764278,12.735841481102929,0.07860739731776167,-0.23750889965641298,,,,,3212,0,0,75,0,3137,0,0,0
"Scott II, Victor",687363,12.123437998635392,12.123437998635392,15.218787121762508,-3.095349123127118,,,,,,3354,0,0,0,0,0,63,3263,28
"Narváez, Carlos",665966,12.113616573350155,,,,,12.113616573350155,4.83930550680443,5.87387028288951,1.4004407836562223,2856,2856,0,0,0,0,0,0,0
"Pages, Andy",681624,12.103711710829257,12.103711710829257,8.995691462105187,3.108020248724059,,,,,,4107,0,0,0,0,0,459,2919,729
"Dingler, Dillon",693307,11.618723948208421,,,,,11.618723948208421,6.7030801721580096,2.473273501296132,2.4423702747542784,3035,3035,0,0,0,0,0,0,0
"Kwan, Steven",680757,11.533808487083522,11.533808487083522,4.778340093958432,6.755468393125094,,,,,,3987,0,0,0,0,0,3984,3,0
"Wells, Austin",669224,11.220055960585531,,,,,11.220055960585531,11.450400735806072,-0.21811950745907022,-0.01222526776146447,3003,3003,0,0,0,0,0,0,0
