"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Duran, Jarren","680776","2025",54,49,42,40,61,75,56,87,99,71,30,53,20,30,71,91,18,86,30,28
"Siri, Jose","642350","2025",,,,,,,,,13,,,,,,,79,,,,
"Sweeney, Trey","700242","2025",,,,,,,,,63,,,,,,15,78,9,,,
"Horwitz, Spencer","687462","2025",54,52,41,35,68,32,42,14,24,20,72,76,86,81,7,9,68,9,57,76
"Matos, Luis","682641","2025",,,,,,,,,72,,,,,,95,49,,,,
"Saggese, Thomas","695336","2025",,,,,,,,,52,,,,,,33,78,46,,,
"Arraez, Luis","650333","2025",25,94,16,2,50,4,1,6,29,1,100,10,100,15,26,25,4,1,100,100
"Turang, Brice","668930","2025",67,69,57,48,72,56,41,75,68,76,40,71,72,78,23,88,34,27,71,90
"Senger, Hayden","663584","2025",,,,,,,,,34,,,,,,,28,,,,
"Allen, Nick","669397","2025",1,6,1,1,4,1,1,2,11,2,35,40,68,64,52,49,99,,,
"Robles, Victor","645302","2025",,,,,,,,,81,,,,,,96,68,,,,
"Reynolds, Bryan","668804","2025",72,66,68,63,66,72,59,78,86,64,14,54,19,62,69,68,25,50,36,84
"Busch, Michael","683737","2025",95,72,97,97,80,96,95,90,75,76,38,64,43,82,7,26,37,16,77,76
"Fermin, Freddy","666023","2025",3,18,7,10,4,8,13,38,35,15,66,16,57,29,,41,,16,56,48
"Brooks, Trenton","670092","2025",,,,,,,,,8,,,,,,,29,,,,
"Mastrobuoni, Miles","670156","2025",,,,,,,,,24,,,,,,59,80,,,,
"Higashioka, Kyle","543309","2025",,,,,,,,,41,,,,,,,6,,,,
"Schanuel, Nolan","694384","2025",55,67,29,19,84,20,13,16,51,6,93,74,92,76,12,18,26,4,93,94
"Clarke, Denzel","672016","2025",,,,,,,,,86,,,,,,64,97,98,,,
"Sánchez, Gary","596142","2025",,,,,,,,,73,,,,,,,3,,,,
"Salazar, César","663967","2025",,,,,,,,,3,,,,,,,1,,,,
"Waters, Drew","671221","2025",,,,,,,,,56,,,,,,70,54,,,,
"Avans, Drew","682183","2025",,,,,,,,,4,,,,,,,92,,,,
"Meyers, Jake","676694","2025",49,79,36,20,68,13,18,22,59,31,72,48,71,79,16,71,96,,,
"Bichette, Bo","666182","2025",83,99,78,56,78,65,41,72,79,83,86,28,83,12,36,21,1,12,74,48
"Siani, Michael","672279","2025",,,,,,,,,16,,,,,,,65,,,,
"Keith, Colt","690993","2025",72,62,63,60,73,42,52,50,54,51,47,73,63,67,31,66,21,27,72,90
"Alcántara, Kevin","682634","2025",,,,,,,,,24,,,,,,,10,,,,
"Hassell III, Robert","690987","2025",,,,,,,,,43,,,,,,77,70,,,,
"Lugo, Matthew","683090","2025",,,,,,,,,32,,,,,,90,95,,,,
"Sanoja, Javier","691594","2025",6,49,9,6,20,2,3,26,24,17,94,16,97,32,54,67,57,,,
"Tena, José","677588","2025",,,,,,,,,36,,,,,,64,58,,,,
"Wilson, Will","669717","2025",,,,,,,,,14,,,,,,21,11,,,,
"Stanton, Giancarlo","519317","2025",,,,,,,,,99,,,,,,,1,,,,
"Fitzgerald, Ryan","680837","2025",,,,,,,,,55,,,,,,,79,,,,
"Canzone, Dominic","686527","2025",,,,,,,,,96,,,,,,91,27,,,,
"Chapman, Matt","656305","2025",74,39,50,57,86,52,59,90,86,78,36,94,42,94,74,69,87,88,23,28
"Gonzalez, Oscar","660757","2025",,,,,,,,,64,,,,,,,67,,,,
"Peraza, Oswald","672724","2025",,,,,,,,,78,,,,,,81,93,77,,,
"Reyes, Pablo","622569","2025",,,,,,,,,4,,,,,,,37,,,,
"Mayer, Marcelo","691785","2025",,,,,,,,,39,,,,,,26,50,,,,
"Albies, Ozzie","645277","2025",20,31,19,19,34,34,17,16,52,10,88,50,73,17,2,44,14,10,73,58
"Anthony, Roman","701350","2025",,,,,,,,,87,,,,,,52,59,,,,
"Crim, Blaine","688760","2025",,,,,,,,,71,,,,,,,21,,,,
"Mateo, Jorge","622761","2025",,,,,,,,,28,,,,,,,94,,,,
"Mullins, Cedric","656775","2025",8,2,9,23,17,24,25,30,35,19,32,71,60,58,45,77,87,34,25,28
"Handley, Maverick","668974","2025",,,,,,,,,13,,,,,,,44,,,,
"Arenado, Nolan","571448","2025",9,33,18,17,21,13,12,10,35,12,96,28,85,16,43,10,81,40,76,1
"De La Cruz, Bryan","650559","2025",,,,,,,,,20,,,,,,,60,,,,
"Rodríguez, Endy","682848","2025",,,,,,,,,18,,,,,,,43,,,,
"Fletcher, Dominic","666150","2025",,,,,,,,,15,,,,,,,10,,,,
"Turner, Justin","457759","2025",,,,,,,,,31,,,,,,5,8,,,,
"Guzman, Denzer","694203","2025",,,,,,,,,18,,,,,,,47,,,,
"Acuña Jr., Ronald","660670","2025",98,72,95,95,99,59,93,92,95,94,28,99,15,82,98,64,2,96,8,18
"Locklear, Tyler","682988","2025",,,,,,,,,32,,,,,,6,39,,,,
"Carlson, Dylan","666185","2025",,,,,,,,,31,,,,,,43,56,24,,,
"Henderson, Gunnar","683002","2025",72,88,52,32,88,62,46,89,89,84,51,64,43,50,71,79,20,92,47,48
"Lindor, Francisco","596019","2025",78,67,69,65,77,80,47,61,83,54,70,58,73,57,27,48,90,32,62,28
"Torkelson, Spencer","679529","2025",67,13,70,85,50,88,83,55,60,59,19,81,33,84,2,32,31,65,28,7
"Chisholm Jr., Jazz","665862","2025",80,22,83,92,57,82,91,35,78,49,8,78,7,59,35,56,88,76,9,7
"Solak, Nick","669256","2025",,,,,,,,,17,,,,,,,29,,,,
"Langford, Wyatt","694671","2025",78,27,65,75,78,82,87,82,84,81,16,90,35,80,59,88,96,66,53,76
