"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Devers, Rafael",646240,"SF","FF","4-Seam Fastball",1,13,"1291",42.2,"261","0.252","0.505","0.386",35.2,29.5,18.7,"0.242","0.508","0.376",63.4
"Kwan, Steven",680757,"CLE","FF","4-Seam Fastball",-1,-10,"1018",36.5,"260","0.249","0.36","0.307",5.9,4.2,4.5,"0.263","0.349","0.308",13.1
"Perdomo, Geraldo",672695,"AZ","FF","4-Seam Fastball",0.8,9,"1238",41.2,"259","0.284","0.466","0.381",10.5,9.7,7.9,"0.292","0.448","0.375",28.5
"Arraez, Luis",650333,"SD","FF","4-Seam Fastball",0.2,2,"989",40.1,"254","0.332","0.489","0.372",5.4,3.9,4.4,"0.282","0.366","0.306",19.7
"Lindor, Francisco",596019,"NYM","FF","4-Seam Fastball",1.3,13,"1063",36.2,"251","0.274","0.575","0.405",16,14.7,11.9,"0.282","0.536","0.398",52.3
"Raleigh, Cal",663728,"SEA","FF","4-Seam Fastball",1.7,16,"964",34,"250","0.23","0.594","0.389",26.6,28.4,23.1,"0.234","0.578","0.384",52.4
"Duran, Jarren",680776,"BOS","FF","4-Seam Fastball",0.7,7,"980",37.4,"249","0.278","0.495","0.388",25.4,23.3,21.6,"0.267","0.44","0.365",54.2
"Friedl, TJ",670770,"CIN","FF","4-Seam Fastball",0.2,2,"980",37.1,"248","0.276","0.389","0.366",9.1,8.9,10.4,"0.254","0.35","0.339",33.5
"Adames, Willy",642715,"SF","FF","4-Seam Fastball",1.6,14,"902",32.2,"240","0.258","0.555","0.38",17.5,14.6,13.9,"0.27","0.588","0.394",52
"Trout, Mike",545361,"LAA","FF","4-Seam Fastball",1.3,15,"1123",45.2,"238","0.229","0.495","0.378",29.3,34.5,22.5,"0.202","0.458","0.362",50.9
"Pasquantino, Vinnie",686469,"KC","FF","4-Seam Fastball",0.3,2,"878",34.1,"238","0.248","0.505","0.363",11.5,13,13.8,"0.263","0.498","0.349",43.4
"Crawford, J.P.",641487,"SEA","FF","4-Seam Fastball",0.7,7,"1076",39.4,"233","0.283","0.412","0.375",20.9,18,13.9,"0.25","0.371","0.349",25.2
"Freeman, Freddie",518692,"LAD","FF","4-Seam Fastball",1.3,10,"770",32.3,"228","0.313","0.543","0.407",21.8,15.8,17.4,"0.296","0.54","0.388",48.8
"Yastrzemski, Mike",573262,"KC","FF","4-Seam Fastball",-0.8,-8,"923",40,"228","0.202","0.383","0.307",18,20.2,18.5,"0.23","0.443","0.339",47.7
"Happ, Ian",664023,"CHC","FF","4-Seam Fastball",-0.4,-5,"1067",39.3,"226","0.203","0.33","0.309",20,25.2,19.5,"0.241","0.425","0.355",50.8
"Edwards, Xavier",669364,"MIA","FF","4-Seam Fastball",-0.9,-8,"887",39.4,"225","0.253","0.345","0.321",11.9,17.3,17,"0.246","0.318","0.305",35.3
"Olson, Matt",621566,"ATL","FF","4-Seam Fastball",0.8,8,"1038",32.8,"223","0.268","0.503","0.387",27.6,24.7,15.5,"0.242","0.483","0.37",57.7
"Butler, Lawrence",671732,"ATH","FF","4-Seam Fastball",-0.2,-2,"858",34.1,"223","0.24","0.408","0.326",29.4,30,25.2,"0.229","0.395","0.317",46.9
"De La Cruz, Elly",682829,"CIN","FF","4-Seam Fastball",0.8,7,"828",30.9,"216","0.294","0.562","0.393",31.8,24.5,23.2,"0.26","0.518","0.365",55.3
"Arozarena, Randy",668227,"SEA","FF","4-Seam Fastball",0.3,3,"906",31.5,"214","0.219","0.472","0.356",30.9,29.4,21.3,"0.243","0.521","0.385",65
"Nimmo, Brandon",607043,"NYM","FF","4-Seam Fastball",-0.7,-7,"933",35.9,"214","0.244","0.389","0.327",23.7,23.4,16.5,"0.254","0.434","0.348",52.2
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",1.6,14,"862",30.1,"213","0.259","0.614","0.403",28.4,25.4,26.6,"0.288","0.704","0.448",69.1
"Greene, Riley",682985,"DET","FF","4-Seam Fastball",-0.2,-2,"950",35.1,"213","0.24","0.427","0.318",27.1,30,19.4,"0.237","0.473","0.332",41.5
"Larnach, Trevor",663616,"MIN","FF","4-Seam Fastball",-0.4,-3,"694",31.7,"212","0.254","0.425","0.328",16.9,13.2,16.6,"0.298","0.488","0.366",48.2
"Frelick, Sal",686217,"MIL","FF","4-Seam Fastball",0.1,1,"810",35,"212","0.286","0.423","0.355",10.3,10.8,11.3,"0.265","0.363","0.325",26.4
"García, Adolis",666969,"TEX","FF","4-Seam Fastball",0.1,1,"880",40.9,"211","0.242","0.421","0.318",31.1,27.5,20.3,"0.248","0.447","0.326",54.1
"Bellinger, Cody",641355,"NYY","FF","4-Seam Fastball",0.1,1,"817",31.5,"210","0.236","0.462","0.347",16.9,14.3,12.9,"0.254","0.474","0.354",38.1
"Story, Trevor",596115,"BOS","FF","4-Seam Fastball",-0.5,-5,"864",35,"209","0.236","0.338","0.288",23.3,27.8,21.3,"0.241","0.396","0.3",54.7
"Lowe, Nathaniel",663993,"BOS","FF","4-Seam Fastball",0.3,3,"1019",39.1,"209","0.271","0.446","0.361",25.7,29.2,19.1,"0.263","0.43","0.355",44.1
"India, Jonathan",663697,"KC","FF","4-Seam Fastball",-1,-8,"792",33.6,"208","0.208","0.309","0.293",14.1,13.9,11.7,"0.239","0.399","0.333",40
"Lee, Jung Hoo",808982,"SF","FF","4-Seam Fastball",0,0,"850",36.2,"208","0.279","0.421","0.353",8.7,10.1,9.7,"0.294","0.405","0.349",35.8
"Stott, Bryson",681082,"PHI","FF","4-Seam Fastball",0.6,6,"1021",41.4,"207","0.285","0.497","0.384",16.4,19.8,12.4,"0.253","0.433","0.344",37.4
"Carroll, Corbin",682998,"AZ","FF","4-Seam Fastball",2.4,18,"737",29.5,"206","0.324","0.682","0.45",26.4,24.8,24.4,"0.29","0.608","0.413",58.5
