"pitcher","pitcher_name","pitch_hand","n_pitches","team_id","ball_angle","relative_release_ball_x","release_ball_z","relative_shoulder_x","shoulder_z"
434378,,"R",2608,137,"55.2",-1.2552690968938744,7.100084355828221,0.160509351898177,5.057793650074363
445276,,"R",867,108,"52.6",-1.1475166653666427,6.340911188004614,0.33895733788115223,4.397376129913011
445926,,"R",171,144,"21.1",-2.125787446250982,5.010350877192982,-0.14328041352638876,4.2440294706612045
448179,,"L",171,118,"35.5",2.3052994357261034,5.383918128654971,0.43362091086301613,4.03749546079995
450203,,"R",2512,9999,"21.1",-2.6282574963473464,5.355453821656051,-0.29067004765716364,4.451435468964656
453286,,"R",1390,141,"33.1",-2.1957902932491704,5.626553956834532,-0.29345009797509586,4.383412255799638
455119,,"R",638,140,"41.4",-1.93723093394603,6.161347962382445,-0.10757021342877421,4.544759579149414
458677,,"L",816,111,"51.6",1.2670792807502105,6.369387254901961,-0.17186934330327497,4.555379567080843
471911,,"R",778,9999,"34.5",-2.0855681412953024,5.881375321336761,-0.17851955675001946,4.56853271941401
472610,,"R",896,9999,"44.0",-1.7268751009577317,6.211897321428571,-0.12292083393016298,4.665614009183219
476594,,"R",59,111,"5.5",-2.56126900246043,4.5530508474576274,-0.5010861627239495,4.358541072237832
477132,,"L",1768,119,"55.7",1.137604738152653,6.059485294117647,-0.11104481034392366,4.226807536840322
489119,,"L",205,113,"49.6",1.5829275158590954,6.172439024390244,0.11615206295378462,4.447391710360419
489446,,"R",762,119,"19.0",-2.3542686994135504,5.1489107611548555,-0.3821551324968069,4.469794442923913
493603,,"R",42,147,"24.7",-2.6925092496716054,5.3880952380952385,-0.5006418109668109,4.379316687887276
500779,,"L",2174,158,"41.6",1.8917294286296595,5.734392824287029,0.2061587727346521,4.238435241560035
502043,,"R",280,110,"44.0",-1.716346343851325,6.266607142857143,-0.01654354882862235,4.6223161888846445
502085,,"R",304,143,"43.3",-1.4649904963421407,5.911875,0.027419126149263506,4.507871000152454
506433,,"R",1157,135,"30.8",-2.052461424738924,5.333949870354365,-0.30885095689725567,4.303245658681481
518397,,"L",313,9999,"35.3",1.964054859285997,5.594057507987221,0.18281496956028997,4.331533971741471
518489,,"R",404,112,"38.5",-1.8745147707595735,5.683762376237624,-0.21020810014825012,4.360978378426078
518585,,"R",792,147,"48.7",-1.4769021783793044,6.018863636363636,-0.01655219102792632,4.353802078269324
518876,,"R",2832,9999,"23.8",-2.295629784385351,5.478255649717514,-0.2608682371446267,4.579793028112632
518886,,"R",230,9999,"23.3",-2.230058010840146,4.8593913043478265,-0.35597677671859257,4.0529172560644815
519008,,"L",272,133,"13.8",2.9154586409397325,5.379926470588235,0.6424319322113873,4.8217929878368455
519141,,"L",800,112,"39.3",1.899044975207991,6.2173375,0.03840499364973262,4.692659704545455
519151,,"R",661,112,"55.7",-1.1393723721921767,5.897413010590015,0.17513827871129198,3.968252863645802
519242,,"L",2031,144,"8.3",3.2805820360899385,4.8675529295913345,0.9098423813686435,4.519881097840864
519326,,"R",332,108,"34.8",-2.0732010280880595,5.960722891566265,-0.14872772131305972,4.619523998400017
521230,,"R",232,111,"47.1",-1.7076262392503827,5.840172413793104,-0.20699476611961398,4.225900179789784
527048,,"L",902,145,"46.5",1.5709766081043806,5.680465631929047,-0.007411607894518423,4.014827392484912
534910,,"R",79,136,"25.2",-2.447748460087477,5.672911392405063,-0.3828633340102439,4.699410195401521
541640,,"R",158,142,"32.5",-2.087947361833901,5.255506329113924,-0.31515917552291345,4.12225986202306
542881,,"L",2333,108,"54.6",1.0876391762643187,6.291513073296185,-0.20769946757099753,4.459138449266626
542888,,"R",1116,140,"41.0",-1.9182162016665505,5.779928315412186,-0.18471751241063386,4.272666281968962
543056,,"L",719,9999,"57.1",0.8911410073854291,6.087607788595271,-0.2946586308970421,4.250021891540786
543101,,"R",634,109,"34.8",-1.738845192032483,5.475299684542587,0.012338762040520243,4.2581548670973985
543135,,"R",1916,140,"32.4",-2.615676117828511,5.401221294363257,-0.6128347492175842,4.126951921198352
543243,,"R",2718,138,"47.6",-1.2920980886415414,5.5599521707137605,0.14742550462421908,3.983655176259413
